w1,v1
whenever,-0.189
plain,-0.189
mexican,-0.1889285714
burrito,-0.1883793103
succeed,-0.18816
call,-0.188116129
possibly,-0.1869952607
peter,-0.1869473684
factor,-0.1869464286
febNUM,-0.186
straight,-0.1859452055
highlight,-0.1855822785
flight,-0.1842272727
town,-0.1838918919
slam,-0.1836666667
ye,-0.1836666667
claus,-0.1836666667
frank,-0.1836666667
&,-0.1824175305
whole,-0.1817377049
$,-0.1816537502
organic,-0.1816363636
shark,-0.1813913043
against,-0.1808686693
symmetry,-0.17984
last,-0.17984
form,-0.179623431
gross,-0.1791111111
brown,-0.1790526316
user,-0.1790422535
further,-0.1789251333
hit,-0.1784482759
content,-0.17840625
temporary,-0.177804878
rubbish,-0.17775
accuracy,-0.17775
tomo,-0.1776
reliable,-0.1769259259
wtus,-0.1768970588
p,-0.1764707792
ultimate,-0.1763333333
hahah,-0.1763333333
middle,-0.176
upon,-0.1759655172
walk,-0.1756363636
ahead,-0.1749012539
blog,-0.1746700508
acceleration,-0.174516129
range,-0.1744615385
starbuck,-0.1738333333
low,-0.1737576292
describe,-0.1737
surface,-0.1736170213
useless,-0.1736
ind,-0.1734285714
although,-0.173375
twice,-0.1733012048
take,-0.1728
without,-0.1723106724
wisdom,-0.1721875
NUMx,-0.1721875
irish,-0.1721875
corner,-0.1719381443
noone,-0.1717333333
roll,-0.1713114754
main,-0.1712837838
NUM-NUM,-0.171
v.,-0.1705357143
algo,-0.1703559322
atleast,-0.1701
pink,-0.1696666667
expensive,-0.1695
aside,-0.1687647059
mild,-0.1683181818
expect,-0.1679392884
lotto,-0.1676666667
immediate,-0.1674339623
meal,-0.1667647059
electronic,-0.1653333333
rain,-0.1653333333
officer,-0.1653333333
stare,-0.1653333333
cricket,-0.1653333333
guard,-0.1653333333
purple,-0.1641724138
vid,-0.1641724138
post,-0.1640572289
gbp,-0.1638
mucho,-0.1627692308
rubber,-0.1627692308
lid,-0.1627692308
chairman,-0.1627692308
recognition,-0.1627692308
song,-0.1623
bagger,-0.1623
travel,-0.162
fish,-0.1616545455
violent,-0.1609615385
sorry,-0.1602748815
signal-NUM,-0.1593846154
former,-0.1593674699
August,-0.1593333333
candle,-0.1586640768
towards,-0.1585856963
resistance,-0.1583781031
desperation,-0.158
thread,-0.158
exercise,-0.158
la,-0.1579090909
corp.,-0.1578181818
prev,-0.1575
sigma,-0.1574285714
bind,-0.1568
touch,-0.1563333333
level,-0.1560007436
double,-0.1550056842
sept.,-0.155
fill,-0.15494614
smash,-0.1544347826
share,-0.1542253521
impossible,-0.152625
promise,-0.1526153846
term,-0.1513995352
sooo,-0.1511428571
anticipated,-0.1511428571
theater,-0.1511428571
u.s.,-0.1509565217
assumption,-0.1509565217
wasnt,-0.1509565217
seasonality,-0.150137931
silence,-0.1499166667
reload,-0.1496842105
NUMmillion,-0.1493307011
yoga,-0.1492105263
replace,-0.1491891892
ahh,-0.1488
down-trend,-0.1488
checkout,-0.1488
marketwatch,-0.1488
moat,-0.1488
smallcap,-0.1488
subscribe,-0.1488
galaxy,-0.1483636364
zoom,-0.1463
until,-0.1459556836
part-NUM,-0.14475
fast,-0.1447426901
NUMdayma,-0.1442727273
quarterly,-0.1436470588
ackman,-0.14340625
gunna,-0.1422
continually,-0.1422
throat,-0.1422
nyc,-0.1422
import,-0.1422
examine,-0.1422
salary,-0.1422
regularly,-0.1422
gmt,-0.1422
et,-0.1421282051
resumption,-0.14208
short-term,-0.142
agency,-0.1412727273
extensive,-0.1410666667
sandy,-0.14105
October,-0.1404740741
sign,-0.1399695585
brent,-0.1395
official,-0.1393333333
hod,-0.1392128378
profit,-0.1390350205
dirty,-0.13875
side,-0.138605664
track,-0.1381333333
feed,-0.1377931034
firmly,-0.1371481481
act,-0.1367567568
painful,-0.1360243902
smart,-0.1359183673
doable,-0.1354285714
guarantee,-0.1352727273
reserve,-0.1352727273
fry,-0.1352727273
jerk,-0.1352727273
touching,-0.1352727273
hefty,-0.1352727273
stairstep,-0.1352727273
rage,-0.1352727273
russel,-0.1352727273
subscription,-0.1352727273
hmm,-0.1352727273
seatbelt,-0.1352727273
notable,-0.1351
fortune,-0.1347352941
trajectory,-0.1343333333
exposure,-0.1341346285
kijun,-0.1340869565
amazon,-0.1340350877
strange,-0.1336216216
tom,-0.1336202532
rip,-0.132890625
inventory,-0.1325365854
may,-0.1323425693
droid,-0.1323076923
r-NUM,-0.13225
split,-0.132173913
reduction,-0.13195
print,-0.131706422
bet,-0.1312978723
horiz,-0.1312941176
environment,-0.131
bay,-0.1305882353
overseas,-0.1305882353
fella,-0.1305882353
wrong,-0.130212766
defense,-0.1301960784
chasing,-0.1293913043
potato,-0.1292727273
sarcastic,-0.1292727273
desperately,-0.1292727273
wifus,-0.1292727273
macy,-0.1292727273
tension,-0.1292727273
obsess,-0.1292727273
anyway,-0.1292727273
shed,-0.1292727273
headline,-0.1291013322
ridiculous,-0.1288421053
thru,-0.1285263158
hedge,-0.1284347826
opening,-0.1280740741
why,-0.1277669903
chart,-0.1273333333
jmho,-0.1271111111
seed,-0.1268571429
July,-0.12665625
objective,-0.1266101695
loser,-0.126559322
god,-0.1264662932
NUMmonth,-0.1264
switch,-0.126
tide,-0.1256666667
textbook,-0.1255701754
t/a,-0.1254
re-enter,-0.1248607595
win,-0.1248
retail,-0.1247604167
com,-0.1247368421
thought,-0.1244017094
minimum,-0.1242391304
computer,-0.1241551724
emaNUM,-0.1240081967
acre,-0.124
globally,-0.124
gladly,-0.124
drinking,-0.124
lb,-0.124
upset,-0.124
change,-0.12384
summer,-0.1237699115
fox,-0.1233333333
wall,-0.122625
complete,-0.1225315315
puppy,-0.1224864865
mind,-0.1223537415
lazy,-0.1221212121
quicker,-0.1220769231
outline,-0.1219166667
breakthrough,-0.1218947368
heat,-0.1217391304
NUMdma,-0.1214814815
obv,-0.1211891892
wit,-0.1210909091
advertiser,-0.12075
steam,-0.11988
lame,-0.1196521739
feel,-0.1185
opinion,-0.1184756098
wheel,-0.1184
paul,-0.1184
verge,-0.1182608696
hate,-0.1181984733
:/,-0.1172222222
triangle,-0.1172031014
russian,-0.11704
however,-0.116985782
trick,-0.116969697
draw,-0.1161138211
maintain,-0.115892562
public,-0.1158
everyday,-0.1155882353
feb,-0.1151428571
x.,-0.1151428571
gee,-0.1151428571
resume,-0.1147744361
plz,-0.1147391304
till,-0.1146943217
hasting,-0.1146666667
kill,-0.1146666667
sen,-0.1146666667
thus,-0.1137454545
reveal,-0.1136666667
extended,-0.113516129
software,-0.1123943662
trap,-0.1123265306
offer,-0.1119440559
al,-0.1117037037
location,-0.1117037037
either,-0.1115675676
merger,-0.1110857143
modest,-0.111
become,-0.1105138889
evident,-0.1102857143
roar,-0.1102222222
turkey,-0.1101
resolution,-0.1097608696
snapback,-0.1090434783
well,-0.1090434783
margin,-0.1087788859
hft,-0.1085625
co.,-0.10856
explanation,-0.1079310345
realistic,-0.1079215686
b.,-0.1077096774
bro,-0.1074666667
agressive,-0.1074666667
milk,-0.1074666667
positioned,-0.1074666667
a/h,-0.1074666667
fasten,-0.1074666667
blade,-0.1073333333
sml,-0.1071225164
consensus,-0.10696
non,-0.1064590164
limit,-0.1062068966
rich,-0.1061587302
recall,-0.10556
contracting,-0.1052727273
filter,-0.1052727273
fundamentally,-0.1049491525
request,-0.1045263158
brake,-0.1045
November,-0.104
territory,-0.1033928571
incoming,-0.1032
deep,-0.1032
savvy,-0.1032
eium,-0.1032
adr,-0.1032
massive,-0.103061974
exact,-0.1030508475
charm,-0.1025964912
london,-0.1019259259
lay,-0.1016363636
throw,-0.1015619048
destroy,-0.1013333333
bill,-0.10125
reset,-0.1011764706
tsunami,-0.1011764706
a.m,-0.1011764706
road,-0.1007560976
meh,-0.10075
funding,-0.10075
while,-0.09931487221
bastard,-0.0992
nut,-0.09868965517
December,-0.09855
entire,-0.09797938144
affect,-0.0972173913
blind,-0.09672727273
substance,-0.0966
delete,-0.0966
soro,-0.0965
never,-0.09649034749
sort,-0.09648648649
tempt,-0.09636363636
pattern,-0.09598975038
except,-0.09588235294
participate,-0.09555555556
laughable,-0.09555555556
wed,-0.09555555556
create,-0.09510638298
blow,-0.09501123596
highest,-0.09501123596
restructuring,-0.0948
home,-0.09471428571
bullishness,-0.09443137255
crowd,-0.09381818182
trim,-0.09381818182
listing,-0.09381818182
induce,-0.09381818182
isn,-0.09381818182
ought,-0.09381818182
innovate,-0.09381818182
gradual,-0.09381818182
freeze,-0.09381818182
kool-aid,-0.09381818182
whom,-0.09381818182
whether,-0.09366101695
overview,-0.09352941176
difference,-0.09316129032
probably,-0.09307692308
mon.,-0.09297297297
otm,-0.09285714286
resist,-0.09256410256
wash,-0.09129166667
working,-0.09122033898
a-b-c,-0.0912
begin,-0.09009361702
tonight,-0.08973913043
map,-0.08957142857
NUMdema,-0.08933333333
related,-0.08925
goo,-0.08861538462
multi-month,-0.08853333333
messy,-0.08833333333
ship,-0.08832989691
bullshit,-0.08781818182
par,-0.08781818182
logical,-0.08781818182
status,-0.08708163265
NUMsma,-0.08693652968
competitive,-0.08685714286
which,-0.08677707006
doctor,-0.0864
idk,-0.08634482759
forstall,-0.086
duck,-0.086
NUMday,-0.086
ol',-0.086
merely,-0.086
bite,-0.086
spectacular,-0.086
b-NUM,-0.086
ore,-0.086
mighty,-0.086
s-t,-0.086
store,-0.086
square,-0.086
rear,-0.086
persistent,-0.086
e,-0.086
marry,-0.086
chief,-0.086
diverg,-0.086
handy,-0.086
because,-0.086
orange,-0.08582608696
eNUM_f,-0.08577777778
charge,-0.08543478261
yeah,-0.08517857143
away,-0.08509090909
medium,-0.08494117647
pacific,-0.08457142857
wick,-0.08452380952
between,-0.08438483965
insight,-0.0843
threaten,-0.08403773585
closed,-0.08371428571
butt,-0.08366666667
decide,-0.08347008547
follow-thru,-0.08290909091
velocity,-0.0828
trade,-0.08278073257
party,-0.08252054795
trump,-0.08228571429
financing,-0.08228571429
junior,-0.08228571429
fool,-0.08120588235
coin,-0.08095454545
crest,-0.08072727273
ordinary,-0.0805
volitility,-0.0805
kitchen,-0.0805
wedge,-0.08018181818
tweet,-0.08016494845
via,-0.08
america,-0.0797752809
attempt,-0.07971428571
weekly,-0.0796728972
role,-0.07938461538
smoke,-0.07931578947
stretch,-0.07930434783
tend,-0.07922077922
due,-0.07896644431
b,-0.07877575758
opt,-0.07854545455
NUMqNUM,-0.07854545455
auto,-0.07780952381
cad,-0.07766666667
show,-0.0771780753
process,-0.07712359551
rights,-0.0768
days/weeks,-0.0768
ev,-0.0768
intense,-0.0768
pong,-0.0768
presidential,-0.0768
contest,-0.0768
op,-0.07657142857
esp,-0.0765
language,-0.07644444444
prepare,-0.0762920354
half,-0.07616339869
bell,-0.07563716814
omen,-0.07557142857
require,-0.07548648649
decNUM,-0.07531034483
disney,-0.0753
accordingly,-0.0753
ii,-0.07502
history,-0.07480666667
rev,-0.07473404255
upswing,-0.07437037037
mfus,-0.07420833333
nope,-0.07408163265
juicy,-0.07382352941
horizonal,-0.07382352941
king,-0.07324637681
hurry,-0.07307142857
expiry,-0.07287096774
beginning,-0.07207042254
digital,-0.072
hockey,-0.072
same,-0.07185963291
idiot,-0.07171428571
dig,-0.07147826087
cusp,-0.07147826087
flag,-0.07120077748
neither,-0.07093333333
all,-0.07090909091
alert,-0.07081395349
suffer,-0.07068292683
monday,-0.07060606061
speak,-0.069875
msg,-0.06972222222
parent,-0.06972222222
east,-0.06916129032
imo,-0.06914285714
gut,-0.06890196078
stamp,-0.0688
accord,-0.06872727273
otherwise,-0.06850344828
finance,-0.0683255814
cancel,-0.06771428571
connect,-0.06764516129
prob,-0.06733333333
opportunity,-0.06712420943
in,-0.067
pay,-0.06681818182
oct.,-0.06676136364
continued,-0.06657534247
bother,-0.06646153846
clearly,-0.06635795455
hump,-0.06605263158
prime,-0.066
px,-0.06586363636
shorter,-0.06567105263
i.e.,-0.06547058824
email,-0.06545454545
leg,-0.06536842105
octNUM,-0.06523809524
expire,-0.06521518987
flirt,-0.06461538462
piece,-0.06441346154
gold,-0.06436037441
ball,-0.06435
shall,-0.06428915663
damn,-0.064
interim,-0.0638245614
spread,-0.063525
as,-0.06344310943
budget,-0.063
w/o,-0.06275
reentry,-0.06275
asap,-0.06275
respectively,-0.06275
punish,-0.06275
boomer,-0.06254545455
buckle,-0.06254545455
wide,-0.06188659794
provide,-0.061875
generate,-0.06166101695
real,-0.06120930233
shame,-0.06107142857
fairly,-0.06096551724
state,-0.0609375
indecision,-0.06083333333
cost,-0.06063414634
pie,-0.060375
para,-0.06033333333
lucky,-0.05996511628
fa,-0.05976190476
adjustment,-0.05963636364
deutsche,-0.05947368421
paper,-0.05932075472
suicide,-0.05914285714
jp,-0.05914285714
land,-0.05907692308
mad,-0.05903448276
every,-0.05893905708
:p,-0.05854545455
mega,-0.05825
guru,-0.0576
scalp,-0.05728899083
regard,-0.05711235955
cont,-0.057
food,-0.05690140845
burst,-0.05688888889
slower,-0.0565
military,-0.05645454545
engineer,-0.05645454545
operator,-0.05645454545
video,-0.05642930153
log,-0.05628571429
progress,-0.05613636364
copy,-0.056
research,-0.05579439252
evolve,-0.05569230769
pat,-0.05569230769
breath,-0.05514893617
price,-0.05473348376
jone,-0.05431111111
clear,-0.05416666667
fib,-0.05366666667
support/resistance,-0.05366666667
challenge,-0.05366666667
unchanged,-0.05366666667
nov,-0.05363636364
do,-0.05326116298
counting,-0.05323529412
foot,-0.05307692308
morgan,-0.05306666667
mo,-0.05242105263
screen,-0.05230769231
or,-0.05219620093
recycle,-0.05175
shale,-0.05175
til,-0.05175
boyz,-0.05175
narrowing,-0.05175
re,-0.05175
whippy,-0.05175
ourselves,-0.05175
benchmark,-0.05175
contact,-0.05171428571
q,-0.05171428571
regret,-0.05171428571
dominate,-0.05152941176
chinese,-0.05150406504
NUM/NUM,-0.05136363636
how,-0.05090223163
apply,-0.05065454545
NUMm,-0.05059288363
trend,-0.05038998279
instagram,-0.05022222222
much,-0.05012381202
omg,-0.04978571429
NUMth,-0.04978571429
manipulate,-0.04974545455
notice,-0.04944680851
okay,-0.04927536232
yourself,-0.04912790698
model,-0.04882191781
andy,-0.04870588235
bug,-0.04826666667
mountain,-0.04791176471
skin,-0.04776923077
ping,-0.04776923077
influence,-0.04776923077
lotta,-0.04776923077
bull/bear,-0.04776923077
signalling,-0.04776923077
speed,-0.04749227342
dma,-0.04748275862
underway,-0.04710869565
everything,-0.04707647059
gap,-0.04703915663
market,-0.04685714286
t,-0.04664723032
desc,-0.04664397906
then,-0.04647113454
goldman,-0.04644705882
score,-0.04644444444
issue,-0.04634920635
reputation,-0.04625
subtle,-0.04625
streak,-0.04625
positon,-0.04625
represent,-0.04621621622
tag,-0.04603508772
later,-0.04594390244
hour,-0.04585590778
supply,-0.04555555556
NUMwk,-0.04525
background,-0.04525
nick,-0.04525
stomach,-0.04525
edition,-0.04525
domestic,-0.04525
he,-0.04525
work,-0.0446999138
extend,-0.04440528634
repeat,-0.04424545455
protection,-0.04416666667
initiate,-0.04344954128
mechanical,-0.04343181818
mark,-0.04339869281
employment,-0.04315789474
protect,-0.04314409618
scott,-0.043
mostly,-0.04281690141
mr.,-0.04278688525
arent,-0.04269230769
patter,-0.04258823529
dictate,-0.04258823529
meaning,-0.04258823529
milestone,-0.04258823529
yawn,-0.04258823529
cautiously,-0.04258823529
compare,-0.04251428571
gov,-0.04222222222
tday,-0.04176923077
toronto,-0.0414
boat,-0.0414
mouth,-0.04131578947
underside,-0.041
breakin,-0.041
iNUM,-0.041
natty,-0.041
vu,-0.041
overlap,-0.041
iron,-0.0402962963
mood,-0.04004
_,-0.04004
definite,-0.03965217391
re-test,-0.03957692308
standard,-0.03946153846
upmove,-0.03904761905
monitor,-0.03904761905
university,-0.03904761905
cotton,-0.03878571429
not,-0.03862788145
diving,-0.03823529412
outside,-0.03794117647
cuban,-0.03763636364
play,-0.03760836502
ongoing,-0.03751724138
field,-0.03730434783
sometime,-0.0372972973
eod,-0.03727272727
tasty,-0.03727272727
kiss,-0.03727272727
suggestion,-0.03707407407
president,-0.03688235294
wake,-0.03686440678
time,-0.03629844157
NUM.NUM,-0.0362
respond,-0.036
close,-0.03533475783
my,-0.0352998481
will,-0.03517165289
etc.,-0.03507692308
safety,-0.03502040816
hover,-0.03482926829
yday,-0.03456818182
dance,-0.03454545455
eastern,-0.0345
ban,-0.03404761905
inflection,-0.034
cooking,-0.0339375
japan,-0.03391025641
bNUM,-0.03388965517
cold,-0.03368181818
samsung,-0.0336
through,-0.03355
tweeted,-0.03346031746
wud,-0.0328
opposite,-0.032725
peg,-0.0324
the,-0.03197388789
overnight,-0.03179695431
leave,-0.03174545455
r,-0.03138461538
at,-0.0312381708
certain,-0.03109090909
span,-0.03064864865
reach,-0.03058823529
equal,-0.0305
havent,-0.0298125
imho,-0.02970833333
dear,-0.0296744186
fee,-0.02914285714
thur,-0.02863809524
oh,-0.0286025641
NUMnd,-0.02818890275
value,-0.02792623006
sooner,-0.02771428571
update,-0.02745173745
huh,-0.02745
into,-0.02687757291
im,-0.02653266332
who,-0.02642662116
u,-0.02628571429
guidance,-0.02592838008
pb,-0.02585915493
aetna,-0.02585714286
balance,-0.02553763441
contract,-0.02550955414
spwr,-0.02523529412
still,-0.02510876812
April,-0.0247860262
often,-0.02448979592
nov.,-0.0243
certainly,-0.02408108108
banking,-0.02377777778
extremely,-0.02375
mean,-0.0237
lvl,-0.02358227848
w,-0.02325742574
NUMrd,-0.02323369565
epic,-0.02314285714
nobody,-0.02307692308
too,-0.02307017078
sept,-0.02278125
floor,-0.02254639175
pro,-0.02220967742
chanel,-0.02209090909
frankfurt,-0.02209090909
set,-0.02191764706
end,-0.02189216428
NUM/NUMdma,-0.0216
rule,-0.02154696133
planet,-0.02144117647
least,-0.02127272727
fit,-0.02121428571
|,-0.02107865169
reaction,-0.02092934272
intact,-0.02061691542
happen,-0.02029411765
color,-0.02025
ing,-0.02025
sticking,-0.02025
drunk,-0.02025
sir,-0.02025
farm,-0.02025
taste,-0.02025
imbalance,-0.02025
wee,-0.02025
daytrader,-0.01955172414
loose,-0.01944
definition,-0.01944
legit,-0.01944
qnx,-0.01928571429
mid-NUM,-0.01928571429
wheat,-0.01918421053
place,-0.01914285714
chest,-0.01905882353
register,-0.01905882353
throughout,-0.01905882353
initial,-0.01904232804
round,-0.01895744681
decending,-0.01869230769
jan,-0.01869230769
norm,-0.01869230769
committee,-0.01869230769
NUMw,-0.01869230769
NUM/share,-0.01840909091
hint,-0.01840909091
hunting,-0.01840909091
whose,-0.018
upday,-0.018
rapidly,-0.018
concerned,-0.01760869565
monetization,-0.01735714286
persist,-0.01735714286
annotated,-0.01735714286
along,-0.01735714286
p.m.,-0.01735714286
known,-0.01735714286
NUM-box,-0.01735714286
claw,-0.01735714286
kind,-0.01735344828
money,-0.01706440353
reap,-0.01705263158
early,-0.01689367813
chase,-0.016875
demonstrate,-0.01675862069
large,-0.01630029747
thrust,-0.0162
plenty,-0.0162
everytime,-0.0162
bofa,-0.0162
war,-0.01607692308
num,-0.01575657779
next,-0.01573619632
say,-0.01566666667
NUM-year,-0.01560465116
swing,-0.01532786356
remove,-0.0152962963
cool,-0.0151875
heavy,-0.01513227513
sloppy,-0.01512820513
view,-0.01484126984
basis,-0.01479509881
even,-0.01476536097
y,-0.01472727273
etf,-0.01469730942
understand,-0.01464646465
forget,-0.01451552795
tracking,-0.01445070423
late,-0.01431
dont,-0.01404761905
sc,-0.01396551724
conviction,-0.0136835443
stay,-0.01351732673
bcoin,-0.01324675325
besides,-0.01285714286
ma,-0.01283793103
winter,-0.01281818182
experience,-0.0127173913
dime,-0.01266666667
materialize,-0.01264285714
impact,-0.01222236617
frame,-0.01208571429
div,-0.01196355344
other,-0.01171428571
<<,-0.01145454545
dude,-0.01136842105
blackberry,-0.01132856247
partial,-0.01125
earlier,-0.01121268272
sure,-0.01110869565
loan,-0.01085714286
bit,-0.0105
multus,-0.01017391304
cap,-0.00958535832
compression,-0.0095
check,-0.00931120332
mid,-0.008791855204
believer,-0.008769230769
march,-0.008727272727
bring,-0.008481132075
micro,-0.00815625
android,-0.008123076923
there,-0.007811320755
pt,-0.00775447847
significantly,-0.007624346348
out,-0.007483870968
member,-0.007341772152
greed,-0.007333333333
quick,-0.007077139938
near,-0.007068965517
across,-0.006988235294
executive,-0.006766666667
quad,-0.006628571429
zNUM,-0.006105263158
shipping,-0.005703703704
break,-0.005700717972
current,-0.005656424581
start,-0.005270266348
reason,-0.005221891986
dec,-0.005076923077
negotiation,-0.004888888889
ntdoy,-0.004833333333
force,-0.004761904762
camera,-0.004583333333
smooth,-0.0044
boost,-0.004130434783
channel,-0.003928571429
overhead,-0.003924528302
laugh,-0.003906976744
b/c,-0.003818181818
feb.,-0.003714285714
tip,-0.0035
herd,-0.003111111111
minimal,-0.003111111111
moment,-0.00304368932
spend,-0.002777777778
man,-0.002667553191
second,-0.002652173913
approach,-0.002501432665
hell,-0.002444444444
downs,-0.002333333333
p/e,-0.002074538161
pricing,-0.002058823529
shift,-0.002
guide,-0.001803030303
review,-0.001658854167
rock,-0.001310679612
lie,-0.0009473684211
obj,-0.0009375
soft,-0.0008372093023
lesson,-0.0008333333333
theme,-0.000825
fibonaccus,-0.0008146964856
tl,-0.0007932485011
horizon,-0.0007894736842
client,-0.00075
ideally,-0.00075
student,-0.00075
means,-0.0007297297297
hopeful,-0.000652173913
mexico,-0.0006
rally,-0.0005169491525
